task_i,task_j,mean_abs_diff
0,1,0.0
0,2,0.00010068820120068267
0,3,3.984227078035474e-05
0,4,8.956724741437938e-06
0,5,1.0542083145992365e-05
0,6,5.000209785066545e-05
0,7,3.5075892810709774e-05
0,8,6.985551590332761e-05
0,9,5.462117769639008e-05
1,2,0.00010068820120068267
1,3,3.984227078035474e-05
1,4,8.956724741437938e-06
1,5,1.0542083145992365e-05
1,6,5.000209785066545e-05
1,7,3.5075892810709774e-05
1,8,6.985551590332761e-05
1,9,5.462117769639008e-05
2,3,0.00010722981096478179
2,4,0.00010091080912388861
2,5,0.00010099702922161669
2,6,0.00011041559628210962
2,7,0.00010518056660657749
2,8,0.00011941279808524996
2,9,0.00011359261407051235
3,4,4.062321022502147e-05
3,5,4.0783328586257994e-05
3,6,6.218796625034884e-05
3,7,5.1386912673478946e-05
3,8,7.869608816690743e-05
3,9,6.679200305370614e-05
4,5,1.3269191185827367e-05
4,6,5.0509130232967436e-05
4,7,3.573890353436582e-05
4,8,6.990060501266271e-05
4,9,5.510428673005663e-05
5,6,5.0815928261727095e-05
5,7,3.6033394280821085e-05
5,8,7.02928809914738e-05
5,9,5.532135037356056e-05
6,7,5.8755020290846005e-05
6,8,8.270602847915143e-05
6,9,7.220267434604466e-05
7,8,7.356206333497539e-05
7,9,6.316943472484127e-05
8,9,8.307411189889535e-05
